place_id,name,rating,formatted_address,latitude,longitude,types,icon,state
ChIJkySim3PuKYQR6VtatBtbYKY,BBVA Aguascalientes Quijote,3.2,"Av LIC.Adolfo López M.Ote 1001, San Luís, 20250 Aguascalientes, Ags., Mexico",21.877871,-102.2737974,sucursal,bank,Aguascalientes
ChIJQeb3zXzuKYQRL0tIOCJIxj4,BBVA Bancomer AGS Office Center,3.9,"Av, 5 de Mayo 112, 20000 Aguascalientes, Ags., Mexico",21.8815281,-102.2969801,sucursal,bank,Aguascalientes
ChIJkfpGScXtKYQR3SfdWyirAw0,BBVA Aguascalientes,3.4,"Av Aguascalientes Sur 603, Cd Industrial, México, 20235 Aguascalientes, Ags., Mexico",21.8598681,-102.2798972,sucursal,bank,Aguascalientes
ChIJuSceueLuKYQRGVX2q-UOtJ8,BBVA Bosques,3,"Avenida Universidad 117, Bosques del Prado Sur, 20120 Aguascalientes, Ags., Mexico",21.9147169,-102.3126106,sucursal,bank,Aguascalientes
ChIJIxqo6FTuKYQR_nCSHsOk7Rc,BBVA Aguascalientes Pulgas Pandas,3.5,"Agropecuario, Av Aguascalientes Nte 1698, 20138 Aguascalientes, Ags., Mexico",21.9152157,-102.2969577,sucursal,bank,Aguascalientes
ChIJC8MlD67vKYQRiL7_n3QCGbc,BBVA Altaria,2.9,"Blvd. A Zacatecas 849, Trojes de Alonso, 20116 Aguascalientes, Ags., Mexico",21.9245323,-102.2897871,sucursal,bank,Aguascalientes
ChIJ68qwbdbtKYQR5vvqYCuYGLU,BBVA Boulevard,3.2,"Av. José Ma. Chávez 1010, Lindavista, 20270 Aguascalientes, Ags., Mexico",21.8686951,-102.2943638,sucursal,bank,Aguascalientes
ChIJ9zRxggfvKYQREK8-DEtHrDc,Bancomer,2.6,"Av. Monte Blanco LB, Desarrollo Especial Colegio Cristóbal Colón, 20115 Aguascalientes, Ags., Mexico",21.9256012,-102.3011423,sucursal,bank,Aguascalientes
ChIJiSzQZfLuKYQRvlek_hOR8IQ,BBVA Plaza San Marcos,2.3,"Zona 1, Av. de la Convención de 1914 Nte., 20010 Aguascalientes, Ags., Mexico",21.8954318,-102.3102319,sucursal,bank,Aguascalientes
ChIJcbwq3STsKYQRoH05RuIl3E4,BBVA,2.9,"Av. de los Maestros 2615, Pirules, 20210 Aguascalientes, Ags., Mexico",21.8588144,-102.3166823,sucursal,bank,Aguascalientes
ChIJIdCaQ-PxKYQR32HjEJmxpHM,BBVA Haciendas De Ags,2.3,"Av Siglo XXI 1302, Balcones de Ojocaliente, 20190 Aguascalientes, Ags., Mexico",21.861416,-102.2490132,sucursal,bank,Aguascalientes
ChIJuUImuIbuKYQRhZrjiL2TB-g,BBVA Expoplaza,3.5,"Av. Convención de 1914 Pte. No. 101, Centro, 20000 Aguascalientes, Ags., Mexico",21.8746297,-102.3116278,sucursal,bank,Aguascalientes
ChIJEbS1VoPuKYQRpJYDdnlfr7Q,BBVA,2.9,"Av. Convención de 1914 Pte., Barrio de San Marcos, 20070 Aguascalientes, Ags., Mexico",21.8962219,-102.3113928,sucursal,bank,Aguascalientes
ChIJkfpGScXtKYQRGjWqzuVqjbY,ATM / CASHIER BANCOMER SUC. AGUASCALIENTES,2.3,"Av Aguascalientes Sur 603, Desarrollo Especial Quinta Real, 20276 Aguascalientes, Ags., Mexico",21.8586844,-102.2878142,sucursal,bank,Aguascalientes
ChIJmYod5QPuKYQRa5q_pj9Z6jc,BBVA,2.9,"Av Tecnológico No. 120, Ojocaliente, 20198 Aguascalientes, Ags., Mexico",21.8782632,-102.2603356,sucursal,bank,Aguascalientes
ChIJSXmEVjgJgoYRESqTOi0BU8o,BBVA Rincón De Romos,4.2,"Av. Morelos 123, Centro Histórico, 20400 Rincón de Romos, Ags., Mexico",22.2290481,-102.3210995,sucursal,bank,Aguascalientes
ChIJIY8dCG7vKYQRJGwlS85Cf-U,BBVA 1000,3.1,"Av Siglo XXI 1302, Nazario Ortiz Garza, 20170 Aguascalientes, Ags., Mexico",21.9060833,-102.2572872,sucursal,bank,Aguascalientes
ChIJl0zcgQPMKYQRgTo7qLcU4J8,BBVA Calvillo,3.5,"Plaza Principal 102, Zona Centro, 20800 Calvillo, Ags., Mexico",21.8465961,-102.7191455,sucursal,bank,Aguascalientes
ChIJ9faLXKnvKYQRfMeEAm8LyVQ,Atm/Cajero BBVA Walmart Aguascalientes,2.3,"Av Independencia 2301, Desarrollo Especial Galerías, 20120 Aguascalientes, Ags., Mexico",21.9236016,-102.2959997,sucursal,bank,Aguascalientes
ChIJpS_Ma03uKYQRoGRlu69_nQo,Atm/Cajero BBVA Costco Aguascalientes,3.9,"Av Aguascalientes Nte 802, Desarrollo Especial Bulevar a Zacatecas, 20126 Aguascalientes, Ags., Mexico",21.9161,-102.288,sucursal,bank,Aguascalientes
ChIJX7qrxRX_0YUR5gh9KO2-kds,BBVA Baja California,3.5,"Medellín 310, Roma Sur, Cuauhtémoc, 06760 Ciudad de México, CDMX, Mexico",19.4064046,-99.1630429,sucursal,bank,Baja California
ChIJ63AH5oU7tIYRCLSPP34ZJ-w,BBVA,2.9,"And. Juan M. de Salvatierra Loreto s/n, Centro, 23880 Loreto, B.C.S., Mexico",26.0105026,-111.3422116,sucursal,bank,Baja California Sur
ChIJdd9dK8qks4YRz3tgqUq01QE,BBVA,3.7,"Agustín Olacheaa S/N, Real, Centro, 23680 Cd Constitución, B.C.S., Mexico",25.0284295,-111.6716345,sucursal,bank,Baja California Sur
ChIJ601y67QsroYRNeiA3ueaBo8,BBVA,2.6,"Mariano Abasolo 3690, Pueblo Nuevo, 23060 La Paz, B.C.S., Mexico",24.1434996,-110.3324226,sucursal,bank,Baja California Sur
ChIJUTtSZCHTr4YR4MZ8al_q1sU,BBVA Bancomer LA PAZ SOUTHWEST,3.3,"Blvd. Forjadores 4260, Instituto Tecnológico Regional, 23050 La Paz, B.C.S., Mexico",24.1248713,-110.3113868,sucursal,bank,Baja California Sur
ChIJeQCOXPbCyoYRb2MRhJfMg0k,BBVA,3.9,"Álvaro Obregón, Calle 5 S/N, Centro, 23920 Santa Rosalía, B.C.S., Mexico",27.3361151,-112.2698764,sucursal,bank,Baja California Sur
ChIJeeH3qEHTr4YRlFFFqV4Weis,BBVA,3.7,"Isabel La Católica 1820, Zona Central, 23020 La Paz, B.C.S., Mexico",24.1502684,-110.306124,sucursal,bank,Baja California Sur
ChIJ-xi3IDLTr4YRsJnrRiaUw7E,BBVA,3,"Blvd, Luis Donaldo Colosio, Las Garzas, 23079 La Paz, B.C.S., Mexico",24.1309208,-110.325108,sucursal,bank,Baja California Sur
ChIJ8wADYFjTr4YRfxgNB2bXOt8,BBVA,4.4,"16 de Septiembre 38, Zona Central, 23000 La Paz, B.C.S., Mexico",24.1631078,-110.3159894,sucursal,bank,Baja California Sur
ChIJD4lUIzBWtIYRhRKHcPpD9FI,Cajero Banorte,0,"BLV. Benito Juarez 7 0TE, Ciudad Insurgentes, 23700 Comondú, B.C.S., Mexico",26.0707889,-111.8442001,sucursal,bank,Baja California Sur
ChIJd6_hO3aCyoYRwWLGa7w1N64,BBVA Mulege,5,"Calle General Martinez y Zaragoza S/N, Centro, 23900 Heroica Mulegé, B.C.S., Mexico",26.8909146,-111.9840443,sucursal,bank,Baja California Sur
ChIJgdrl0rQsroYRpHQYMsmKpBI,Atm/Cajero BBVA Cc Californiano,0,"Colima, Pueblo Nuevo, 23060 La Paz, B.C.S., Mexico",24.1431,-110.331,sucursal,bank,Baja California Sur
